Customer,Ticket Price ex VAT,Number of Travellers,Total Cost ex VAT,Ticket Type,Travel Class,Travel Date,Miles Travelled,Journey Start Point,Journey Finish Point,Air Carrier
Met Office,78.64,1,78.64,Ticket,ECONOMY,16/05/2011,368,AMSTERDAM,EXETER,FLYBE
Met Office,92.48,1,92.48,Ticket,ECONOMY,17/05/2011,450,ABERDEEN,EXETER,FLYBE
Met Office,138.19,1,138.19,Ticket,ECONOMY,18/05/2011,402,LONDON - LHR,ABERDEEN,BRITISH MIDLAND
Met Office,135,1,135,Ticket,ECONOMY,18/05/2011,0,NEW YORK - JFK,LONDON - LHR,VIRGIN ATLANTIC
Met Office,92.72,1,92.72,Ticket,ECONOMY,18/05/2011,450,ABERDEEN,EXETER,FLYBE
Met Office,164.5,1,164.5,Ticket,BUSINESS,19/05/2011,0,LONDON - LHR,ABERDEEN,BRITISH MIDLAND
Met Office,160.9,1,160.9,Ticket,ECONOMY,19/05/2011,403,BRISTOL,ABERDEEN,EASTERN AIRWAYS
Met Office,90.1,1,90.1,Ticket,ECONOMY,19/05/2011,0,GENEVA,LONDON - LHR,BRITISH AIRWAYS
Met Office,69.49,1,69.49,Ticket,ECONOMY,19/05/2011,360,EDINBURGH,EXETER,FLYBE
Met Office,160.9,1,160.9,Ticket,ECONOMY,20/05/2011,403,BRISTOL,ABERDEEN,EASTERN AIRWAYS
Met Office,127.3,1,127.3,Ticket,ECONOMY,20/05/2011,402,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Met Office,159,1,159,Ticket,ECONOMY,22/05/2011,403,ABERDEEN,BRISTOL,EASTERN AIRWAYS
Met Office,91.49,1,91.49,Ticket,ECONOMY,24/05/2011,368,EXETER,AMSTERDAM,FLYBE
Met Office,167.5,1,167.5,Ticket,ECONOMY,26/05/2011,0,GENEVA,LONDON - LHR,BRITISH AIRWAYS
Met Office,54.5,1,54.5,Ticket,ECONOMY,26/05/2011,0,GENEVA,LONDON - LGW,EASYJET
Met Office,54.5,1,54.5,Ticket,ECONOMY,26/05/2011,0,GENEVA,LONDON - LGW,EASYJET
Met Office,-65.07,-1,-65.07,Ticket,ECONOMY,26/05/2011,-360,EXETER,EDINBURGH,FLYBE
Met Office,151.06,1,151.06,Ticket,ECONOMY,27/05/2011,0,BENBECULA,GLASGOW,FLYBE
Met Office,119.32,1,119.32,Ticket,ECONOMY,28/05/2011,363,INVERNESS,BIRMINGHAM,FLYBE
Met Office,83.14,1,83.14,Ticket,ECONOMY,28/05/2011,0,GLASGOW,CARDIFF,FLYBE
Met Office,74.94,1,74.94,Ticket,ECONOMY,30/05/2011,326,BRISTOL,AMSTERDAM,EASYJET
Met Office,51.99,1,51.99,Ticket,ECONOMY,31/05/2011,206,BRISTOL,DUBLIN,RYANAIR
Met Office,547.4,1,547.4,Ticket,BUSINESS,01/06/2011,326,AMSTERDAM,BRISTOL,KLM
Met Office,69.8,1,69.8,Ticket,ECONOMY,01/06/2011,315,ROME,REGGIO CALABRIA,ALITALIA
Met Office,59.48,1,59.48,Ticket,ECONOMY,01/06/2011,135,EDINBURGH,BELFAST CITY,FLYBE
Met Office,145.99,1,145.99,Ticket,ECONOMY,02/06/2011,287,BELFAST CITY,EXETER,FLYBE
Met Office,83.24,1,83.24,Ticket,ECONOMY,02/06/2011,695,BRISTOL,BERLIN,EASYJET
Met Office,78.48,1,78.48,Ticket,ECONOMY,02/06/2011,287,EXETER,BELFAST CITY,FLYBE
Met Office,43.48,1,43.48,Ticket,ECONOMY,02/06/2011,135,BELFAST CITY,EDINBURGH,FLYBE
Met Office,326.8,1,326.8,Ticket,ECONOMY,04/06/2011,2573,KUALA LUMPUR,PERTH AUS,MALAYSIA AIRLINES SYSTEMS
Met Office,49.06,1,49.06,Ticket,ECONOMY,04/06/2011,261,PALERMO,ROME,EASYJET
Met Office,95.48,1,95.48,Ticket,ECONOMY,05/06/2011,259,BELFAST CITY,BRISTOL,FLYBE
Met Office,182.21,1,182.21,Ticket,ECONOMY,06/06/2011,0,NULL,NULL,FLYBE
Met Office,159,1,159,Ticket,ECONOMY,07/06/2011,403,ABERDEEN,BRISTOL,EASTERN AIRWAYS
Met Office,73.97,1,73.97,Ticket,ECONOMY,07/06/2011,849,LEEDS,VENICE,JET 2
Met Office,170,1,170,Ticket,ECONOMY,08/06/2011,342,ABERDEEN,NORWICH,EASTERN AIRWAYS
Met Office,167.5,1,167.5,Ticket,ECONOMY,08/06/2011,342,ABERDEEN,NORWICH,BRITISH MIDLAND
Met Office,167.5,1,167.5,Ticket,ECONOMY,08/06/2011,342,ABERDEEN,NORWICH,BRITISH MIDLAND
Met Office,83.8,1,83.8,Ticket,ECONOMY,08/06/2011,589,BERLIN,LUTON,EASYJET
Met Office,55.99,1,55.99,Ticket,ECONOMY,08/06/2011,331,LONDON - LHR,EDINBURGH,BRITISH MIDLAND
Met Office,172.6,1,172.6,Ticket,ECONOMY,09/06/2011,342,NORWICH,ABERDEEN,EASTERN AIRWAYS
Met Office,61.49,1,61.49,Ticket,ECONOMY,09/06/2011,360,EDINBURGH,EXETER,FLYBE
Met Office,51.24,1,51.24,Ticket,ECONOMY,09/06/2011,317,BRISTOL,EDINBURGH,EASYJET
Met Office,51.49,1,51.49,Ticket,ECONOMY,10/06/2011,360,EDINBURGH,EXETER,FLYBE
Met Office,79.31,1,79.31,Ticket,ECONOMY,12/06/2011,758,ORIO AL SERIO,LEEDS,JET 2
Met Office,60,1,60,Ticket,PREMIUM ECONOMY,14/06/2011,0,STAVANGER,ABERDEEN,SCANDINAVIAN AIRLINES
Met Office,86.91,1,86.91,Ticket,ECONOMY,15/06/2011,1050,LEEDS,ROME,JET 2
Met Office,62.48,1,62.48,Ticket,ECONOMY,15/06/2011,360,EDINBURGH,EXETER,FLYBE
Met Office,158.75,1,158.75,Ticket,ECONOMY,18/06/2011,1665,BOURNEMOUTH,FUERTEVENTURA,RYANAIR
Met Office,94.49,1,94.49,Ticket,ECONOMY,18/06/2011,229,EXETER,LEEDS,FLYBE
Met Office,-347.6,-1,-347.6,Ticket,ECONOMY,19/06/2011,-5353,SAN FRANCISCO,LONDON - LHR,BRITISH MIDLAND
Met Office,441,1,441,Ticket,ECONOMY,20/06/2011,1415,MOUNT PLEASANT,SANTIAGO,LAN CHILE
Met Office,293.27,1,293.27,Ticket,ECONOMY,20/06/2011,309,ABERDEEN,STAVANGER,SCANDINAVIAN AIRLINES
Met Office,129.61,1,129.61,Ticket,ECONOMY,20/06/2011,890,PISA,LEEDS,JET 2
Met Office,-441,-1,-441,Ticket,ECONOMY,20/06/2011,-1415,MOUNT PLEASANT,SANTIAGO,LAN CHILE
Met Office,48.18,1,48.18,Ticket,ECONOMY,21/06/2011,588,LONDON - LHR,BERLIN,LUFTHANSA
Met Office,178.48,1,178.48,Ticket,ECONOMY,22/06/2011,177,GLASGOW,STORNOWAY,FLYBE
Met Office,77.13,1,77.13,Ticket,ECONOMY,22/06/2011,589,BERLIN,LUTON,EASYJET
Met Office,123.14,1,123.14,Ticket,ECONOMY,23/06/2011,96,STORNOWAY,INVERNESS,FLYBE
Met Office,-34.58,-1,-34.58,Ticket,ECONOMY,23/06/2011,-588,LONDON - LHR,BERLIN,LUFTHANSA
Met Office,143.02,1,143.02,Ticket,ECONOMY,25/06/2011,187,MANCHESTER,EXETER,FLYBE
Met Office,94.49,1,94.49,Ticket,ECONOMY,25/06/2011,229,EXETER,LEEDS,FLYBE
Met Office,75.24,1,75.24,Ticket,ECONOMY,26/06/2011,568,BRISTOL,TOULOUSE,EASYJET
Met Office,80.94,1,80.94,Ticket,ECONOMY,27/06/2011,317,EDINBURGH,BRISTOL,EASYJET
Met Office,80.94,1,80.94,Ticket,ECONOMY,27/06/2011,317,EDINBURGH,BRISTOL,EASYJET
Met Office,9,1,9,Ticket,ECONOMY,28/06/2011,0,BRISTOL,TOULOUSE,EASYJET
Met Office,-9,-1,-9,Ticket,ECONOMY,28/06/2011,0,BRISTOL,TOULOUSE,EASYJET
Met Office,124.4,1,124.4,Ticket,ECONOMY,30/06/2011,117,DUSSELDORF,FRANKFURT,LUFTHANSA
Met Office,94.28,1,94.28,Ticket,ECONOMY,30/06/2011,1762,FUERTEVENTURA,LUTON,RYANAIR
Met Office,62.48,1,62.48,Ticket,ECONOMY,30/06/2011,360,EXETER,EDINBURGH,FLYBE
Met Office,62.48,1,62.48,Ticket,ECONOMY,30/06/2011,360,EXETER,EDINBURGH,FLYBE
Met Office,81.3,1,81.3,Ticket,ECONOMY,01/07/2011,588,LONDON - LHR,BERLIN,BRITISH AIRWAYS
Met Office,81.3,1,81.3,Ticket,ECONOMY,01/07/2011,588,LONDON - LHR,BERLIN,BRITISH AIRWAYS
Met Office,149.72,1,149.72,Ticket,ECONOMY,03/07/2011,266,ABERDEEN,MANCHESTER,FLYBE
Met Office,111.46,1,111.46,Ticket,ECONOMY,03/07/2011,695,BERLIN,BRISTOL,EASYJET
Met Office,111.46,1,111.46,Ticket,ECONOMY,03/07/2011,695,BERLIN,BRISTOL,EASYJET
Met Office,265.87,1,265.87,Ticket,ECONOMY,06/07/2011,637,LERWICK,EXETER,FLYBE
Met Office,186.96,1,186.96,Ticket,ECONOMY,06/07/2011,0,NULL,NULL,FLYBE
Met Office,116.48,1,116.48,Ticket,ECONOMY,07/07/2011,450,EXETER,ABERDEEN,FLYBE
Met Office,230.3,1,230.3,Ticket,ECONOMY,08/07/2011,588,LONDON - LHR,BERLIN,BRITISH AIRWAYS
Met Office,210.42,1,210.42,Ticket,ECONOMY,08/07/2011,282,EDINBURGH,LERWICK,FLYBE
Met Office,133.32,1,133.32,Ticket,ECONOMY,08/07/2011,363,INVERNESS,BIRMINGHAM,FLYBE
Met Office,62.48,1,62.48,Ticket,ECONOMY,08/07/2011,360,EXETER,EDINBURGH,FLYBE
Met Office,100.55,1,100.55,Ticket,ECONOMY,09/07/2011,0,BERLIN,LUTON,EASYJET
Met Office,93.32,1,93.32,Ticket,ECONOMY,10/07/2011,579,LA ROCHELLE FR,BRISTOL,EASYJET
Met Office,247.48,1,247.48,Ticket,ECONOMY,11/07/2011,0,NULL,NULL,FLYBE
Met Office,10,1,10,Ticket,ECONOMY,12/07/2011,0,LA ROCHELLE FR,BRISTOL,EASYJET
Met Office,-9.69,-1,-9.69,Ticket,ECONOMY,12/07/2011,0,LA ROCHELLE FR,BRISTOL,EASYJET
Met Office,199,1,199,Ticket,ECONOMY,13/07/2011,403,ABERDEEN,BRISTOL,EASTERN AIRWAYS
Met Office,92.48,1,92.48,Ticket,ECONOMY,13/07/2011,250,EDINBURGH,BIRMINGHAM,FLYBE
Met Office,72.48,1,72.48,Ticket,ECONOMY,13/07/2011,250,EDINBURGH,BIRMINGHAM,FLYBE
Met Office,144.48,1,144.48,Ticket,ECONOMY,14/07/2011,450,ABERDEEN,EXETER,FLYBE
Met Office,322.5,1,322.5,Ticket,ECONOMY,16/07/2011,309,STAVANGER,ABERDEEN,SCANDINAVIAN AIRLINES
Met Office,322.5,1,322.5,Ticket,ECONOMY,16/07/2011,309,STAVANGER,ABERDEEN,SCANDINAVIAN AIRLINES
Met Office,322.5,1,322.5,Ticket,ECONOMY,16/07/2011,309,STAVANGER,ABERDEEN,SCANDINAVIAN AIRLINES
Met Office,322.5,1,322.5,Ticket,ECONOMY,16/07/2011,309,STAVANGER,ABERDEEN,SCANDINAVIAN AIRLINES
Met Office,172,1,172,Ticket,ECONOMY,16/07/2011,0,ABERDEEN,LONDON - LHR,BRITISH AIRWAYS
Met Office,60,1,60,Ticket,ECONOMY,16/07/2011,0,ABERDEEN,LONDON - LHR,BRITISH AIRWAYS
Met Office,-322.5,-1,-322.5,Ticket,ECONOMY,16/07/2011,-309,STAVANGER,ABERDEEN,SCANDINAVIAN AIRLINES
Met Office,-322.5,-1,-322.5,Ticket,ECONOMY,16/07/2011,-309,STAVANGER,ABERDEEN,SCANDINAVIAN AIRLINES
Met Office,129.48,1,129.48,Ticket,ECONOMY,17/07/2011,450,EXETER,ABERDEEN,FLYBE
Met Office,60,1,60,Ticket,BUSINESS,17/07/2011,3667,WASHINGTON,LONDON - LHR,BRITISH AIRWAYS INTERNET BOOKI
Met Office,264,1,264,Ticket,ECONOMY,18/07/2011,487,MONTREAL,WASHINGTON - NATIONAL,AIR CANADA
Met Office,207.1,1,207.1,Ticket,BUSINESS,19/07/2011,249,ACCRA,LAGOS,VIRGIN NIGERIA AIRWAYS
Met Office,190.48,1,190.48,Ticket,ECONOMY,19/07/2011,450,EXETER,ABERDEEN,FLYBE
Met Office,159.48,1,159.48,Ticket,ECONOMY,19/07/2011,450,EXETER,ABERDEEN,FLYBE
Met Office,102.48,1,102.48,Ticket,ECONOMY,19/07/2011,199,EXETER,RENNES,FLYBE
Met Office,192,1,192,Ticket,ECONOMY,20/07/2011,433,ABERDEEN,SOUTHAMPTON,EASTERN AIRWAYS
Met Office,163.24,1,163.24,Ticket,ECONOMY,21/07/2011,188,ABERDEEN,LERWICK,FLYBE
Met Office,159,1,159,Ticket,ECONOMY,21/07/2011,403,ABERDEEN,BRISTOL,EASTERN AIRWAYS
Met Office,119.99,1,119.99,Ticket,ECONOMY,21/07/2011,0,NULL,NULL,FLYBE
Met Office,94.48,1,94.48,Ticket,ECONOMY,21/07/2011,450,EXETER,ABERDEEN,FLYBE
Met Office,74.48,1,74.48,Ticket,ECONOMY,23/07/2011,360,EXETER,EDINBURGH,FLYBE
Met Office,184,1,184,Ticket,ECONOMY,24/07/2011,1980,PAPHOS,LONDON - LGW,EASYJET
Met Office,178.86,1,178.86,Ticket,ECONOMY,24/07/2011,637,LERWICK,EXETER,FLYBE
Met Office,117.48,1,117.48,Ticket,ECONOMY,24/07/2011,450,EXETER,ABERDEEN,FLYBE
Met Office,114.01,1,114.01,Ticket,ECONOMY,24/07/2011,0,GIBRALTAR,LUTON,MONARCH AIRLINES
Met Office,43.49,1,43.49,Ticket,ECONOMY,24/07/2011,0,GIBRALTAR,LUTON,MONARCH AIRLINES
Met Office,82.7,1,82.7,Ticket,ECONOMY,25/07/2011,220,BREST,SOUTHAMPTON,FLYBE
Met Office,130.48,1,130.48,Ticket,ECONOMY,26/07/2011,450,ABERDEEN,EXETER,FLYBE
Met Office,91.94,1,91.94,Ticket,ECONOMY,26/07/2011,418,LUTON,INVERNESS,EASYJET
Met Office,130.48,1,130.48,Ticket,ECONOMY,30/07/2011,0,NULL,NULL,FLYBE
Met Office,117,1,117,Ticket,ECONOMY,30/07/2011,214,PLYMOUTH,CORK,AIR SOUTHWEST
Met Office,117,1,117,Ticket,ECONOMY,30/07/2011,214,PLYMOUTH,CORK,AIR SOUTHWEST
Met Office,131.48,1,131.48,Ticket,ECONOMY,31/07/2011,287,BELFAST CITY,EXETER,FLYBE
Met Office,95.72,1,95.72,Ticket,ECONOMY,31/07/2011,222,DUBLIN,EXETER,FLYBE
Met Office,95.72,1,95.72,Ticket,ECONOMY,31/07/2011,222,DUBLIN,EXETER,FLYBE
Met Office,72.48,1,72.48,Ticket,ECONOMY,31/07/2011,360,EDINBURGH,EXETER,FLYBE
Met Office,1,1,1,Ticket,ECONOMY,31/07/2011,0,BELFAST CITY,EXETER,FLYBE
Met Office,69.28,1,69.28,Ticket,ECONOMY,04/08/2011,103,GLASGOW,TIREE,FLYBE
Met Office,55,1,55,Ticket,ECONOMY,05/08/2011,5035,TIREE,OLANCHITO,MISC SUPPLIERS
Met Office,47.6,1,47.6,Ticket,ECONOMY,05/08/2011,360,CORK,LONDON - LGW,RYANAIR
Met Office,165.75,1,165.75,Ticket,ECONOMY,06/08/2011,0,ABERDEEN,EXETER,FLYBE
Met Office,130.48,1,130.48,Ticket,ECONOMY,06/08/2011,450,ABERDEEN,EXETER,FLYBE
Met Office,57.14,1,57.14,Ticket,ECONOMY,06/08/2011,72,GLENEGEDALE,GLASGOW,FLYBE
Met Office,30,1,30,Ticket,ECONOMY,06/08/2011,0,STAVANGER,ABERDEEN,SCANDINAVIAN AIRLINES
Met Office,0,1,0,Ticket,ECONOMY,06/08/2011,0,STAVANGER,ABERDEEN,SCANDINAVIAN AIRLINES
Met Office,175.48,1,175.48,Ticket,ECONOMY,07/08/2011,450,ABERDEEN,EXETER,FLYBE
Met Office,127.94,1,127.94,Ticket,ECONOMY,08/08/2011,2234,EDINBURGH,PAPHOS,EASYJET
Met Office,35,1,35,Ticket,ECONOMY,08/08/2011,0,LONDON - LHR,LONDON - LHR,AMERICAN AIRLINES
Met Office,90.24,1,90.24,Ticket,ECONOMY,09/08/2011,269,BRISTOL,BELFAST INTL,EASYJET
Met Office,97.49,1,97.49,Ticket,ECONOMY,12/08/2011,287,BELFAST CITY,EXETER,FLYBE
Met Office,106.74,1,106.74,Ticket,ECONOMY,16/08/2011,269,BRISTOL,BELFAST INTL,EASYJET
Met Office,39,1,39,Ticket,ECONOMY,16/08/2011,402,LONDON - LHR,ABERDEEN,BRITISH MIDLAND
Met Office,-22.5,-1,-22.5,Ticket,ECONOMY,16/08/2011,-402,LONDON - LHR,ABERDEEN,BRITISH MIDLAND
Met Office,231.2,1,231.2,Ticket,ECONOMY,18/08/2011,2037,LARNACA,LONDON - LHR,BRITISH AIRWAYS
Met Office,231.2,1,231.2,Ticket,ECONOMY,18/08/2011,2037,LARNACA,LONDON - LHR,BRITISH AIRWAYS
Met Office,40,1,40,Ticket,ECONOMY,18/08/2011,0,ABERDEEN,LERWICK,FLYBE
Met Office,34,1,34,Ticket,ECONOMY,18/08/2011,0,EXETER,ABERDEEN,FLYBE
Met Office,108.49,1,108.49,Ticket,ECONOMY,19/08/2011,287,BELFAST CITY,EXETER,FLYBE
Met Office,74.24,1,74.24,Ticket,ECONOMY,23/08/2011,269,BRISTOL,BELFAST INTL,EASYJET
Met Office,291.33,1,291.33,Ticket,ECONOMY,24/08/2011,0,NULL,NULL,FLYBE
Met Office,65.24,1,65.24,Ticket,ECONOMY,24/08/2011,317,BRISTOL,EDINBURGH,EASYJET
Met Office,91.49,1,91.49,Ticket,ECONOMY,25/08/2011,360,EDINBURGH,EXETER,FLYBE
Met Office,167.3,1,167.3,Ticket,ECONOMY,27/08/2011,402,LONDON - LHR,ABERDEEN,BRITISH AIRWAYS
Met Office,138.73,1,138.73,Ticket,ECONOMY,27/08/2011,266,ABERDEEN,MANCHESTER,FLYBE
Met Office,129.4,1,129.4,Ticket,ECONOMY,27/08/2011,266,MANCHESTER,ABERDEEN,BRITISH MIDLAND
Met Office,331.57,1,331.57,Ticket,ECONOMY,28/08/2011,309,ABERDEEN,STAVANGER,SCANDINAVIAN AIRLINES
Met Office,83.48,1,83.48,Ticket,ECONOMY,28/08/2011,494,BIRMINGHAM,HAMBURG,FLYBE
Met Office,138.3,1,138.3,Ticket,ECONOMY,30/08/2011,585,LONDON - LHR,MUNICH,BRITISH AIRWAYS
Met Office,88.48,1,88.48,Ticket,ECONOMY,01/09/2011,360,EXETER,EDINBURGH,FLYBE
Met Office,188.42,1,188.42,Ticket,ECONOMY,02/09/2011,282,EDINBURGH,LERWICK,FLYBE
Met Office,173.14,1,173.14,Ticket,ECONOMY,02/09/2011,157,BENBECULA,GLASGOW,FLYBE
Met Office,92.9,1,92.9,Ticket,ECONOMY,02/09/2011,585,MUNICH,LONDON - LHR,BRITISH AIRWAYS
Met Office,46.5,1,46.5,Ticket,ECONOMY,02/09/2011,0,EDINBURGH,EXETER,FLYBE
Met Office,274.62,1,274.62,Ticket,ECONOMY,04/09/2011,637,LERWICK,EXETER,FLYBE
Met Office,127.69,1,127.69,Ticket,ECONOMY,04/09/2011,331,LONDON - LHR,EDINBURGH,BRITISH MIDLAND
Met Office,50.94,1,50.94,Ticket,ECONOMY,04/09/2011,317,EDINBURGH,BRISTOL,EASYJET
